0,1,Perform,Class
46,70,-0.055827226,-1
60,56,0.047311925,1
45,71,-0.062578628,-1
38,78,0.066564722,1
28,48,-0.233144314,-1
33,81,-0.027079079,-1
60,56,-0.016197487,-1
56,60,-0.233050397,-1
32,77,0.03796535,0
47,69,-0.110153409,-1
70,40,0.245526413,1
38,74,-0.09719098,-1
28,52,-0.139752191,-1
34,76,0.061667531,1
45,71,-0.044616651,-1
46,70,-0.149334461,-1
51,61,-0.065451526,-1
27,89,0.281977967,1
47,68,-0.113943469,-1
33,83,0.013779614,0
48,62,0.177268183,1
53,63,0.120855501,1
40,76,-0.101496069,-1
47,69,0.127780394,1
35,81,0.111974392,1
28,46,-0.095579641,-1
53,63,0.080358237,1
56,60,-0.021533838,-1
58,50,0.252306791,1
39,69,-0.089462298,-1
68,48,0.15470093,1
66,50,0.048551063,1
34,82,0.235550692,1
42,74,-0.190848974,-1
34,82,0.100800369,1
48,66,0.230234318,1
37,79,0.172207107,1
39,77,-0.149113363,-1
26,86,-0.140186109,-1
57,59,0.193320144,1
66,50,0.449096268,1
64,52,-0.243767525,-1
56,60,0.094585468,1
47,68,0.24958446,1
42,36,8.54594e-05,0
33,83,0.271002841,1
31,85,0.260449819,1
61,55,-0.299184583,-1
43,70,-0.108367968,-1
54,62,-0.112702291,-1
43,73,0.033387396,0
60,56,-0.117223921,-1
53,61,0.301054021,1
27,89,0.198698712,1
58,54,-0.051531502,-1
45,71,-0.058646347,-1
50,66,-0.043953612,-1
41,73,0.177425933,1
60,56,-0.116978737,-1
56,60,0.135787357,1
29,87,-0.072444932,-1
44,72,-0.067466009,-1
39,75,0.317421458,1
41,75,-0.020345191,-1
41,75,-0.072583972,-1
50,59,-0.070083683,-1
50,60,0.056687577,1
38,78,0.160952554,1
49,67,0.026359175,0
47,69,0.066487302,1
34,82,0.06748909,1
67,48,0.079744899,1
46,70,-0.104508324,-1
37,75,0.015509423,0
55,61,0.226844081,1
54,60,0.008052018,0
53,61,0.254210225,1
56,60,-0.048129743,-1
36,46,0.077981892,1
70,46,-0.036531348,-1
49,67,0.001354815,0
44,72,0.017839894,0
34,48,-0.11392634,-1
52,32,-0.148920359,-1
46,70,0.142193177,1
56,60,0.06175712,1
54,62,0.022637392,0
51,29,0.152736868,1
47,68,-0.126074664,-1
52,56,-0.044198651,-1
46,62,0.198836313,1
48,68,-0.118386925,-1
44,72,-0.104369779,-1
45,71,0.098257821,1
49,67,0.394702541,1
45,68,-0.078071714,-1
47,69,0.311013005,1
41,75,0.132362224,1
65,51,-0.108550825,-1
56,53,0.009341135,0
24,92,-0.01450297,0
43,72,0.172793348,1
59,57,-0.024112649,-1
52,64,-0.132134662,-1
43,64,0.061154318,1
28,88,0.035923318,0
50,66,0.046557288,1
46,68,0.025115649,0
40,76,-0.140504726,-1
52,64,-0.200962342,-1
55,60,0.087374181,1
71,45,-0.106162771,-1
30,86,0.1145409,1
46,64,0.076927708,1
57,59,-0.008014201,0
41,66,0.177344124,1
27,89,-0.033918272,-1
64,46,0.231018657,1
48,68,0.031796169,0
52,64,-0.025218224,-1
34,82,-0.057383223,-1
47,69,-0.095392852,-1
50,66,-0.152934993,-1
40,76,0.23859355,1
59,53,-0.093972792,-1
54,56,-0.09118049,-1
58,56,0.3005829,1
48,68,-0.114556767,-1
49,67,-0.25009613,-1
50,58,-0.259818225,-1
49,67,-0.013420678,0
53,63,-0.259504532,-1
44,66,0.175503127,1
37,75,-0.00597399,0
60,56,0.041826473,1
49,67,-0.028929619,-1
35,81,-0.097983944,-1
59,53,0.033441663,0
40,76,-0.06126582,-1
47,69,-0.031231631,-1
44,72,0.106967347,1
41,75,-0.128598143,-1
58,50,0.285872093,1
35,81,-0.015723242,-1
32,84,0.235777498,1
39,45,0.230827234,1
31,85,-0.079233882,-1
43,73,0.122400837,1
53,63,-0.111925683,-1
65,49,0.025978422,0
56,58,-0.280991547,-1
54,62,-0.09513059,-1
60,56,0.023842796,0
51,59,0.006724016,0
22,94,0.058917086,1
61,53,-0.256869692,-1
49,63,-0.054533851,-1
44,70,-0.002709359,0
44,72,0.228939834,1
47,69,0.017231856,0
42,74,-0.196425924,-1
19,94,-0.043960566,-1
46,70,0.248793417,1
60,50,0.043472665,1
52,61,-0.14800041,-1
51,65,-0.18314671,-1
43,73,-0.11703465,-1
29,53,0.127058496,1
51,65,0.09313465,1
47,65,-0.03753444,-1
45,67,-0.229842489,-1
43,73,0.180969752,1
48,68,-0.166898193,-1
55,61,0.000526573,0
52,64,-0.091375041,-1
44,72,0.003201559,0
46,70,0.041219136,1
38,77,-0.18659988,-1
55,54,0.047365086,1
38,78,-0.040960473,-1
62,54,-0.042554704,-1
47,69,-0.014658401,0
32,84,0.219300998,1
38,78,0.052639561,1
27,81,-0.130767294,-1
49,66,-0.224348753,-1
45,71,-0.084314359,-1
48,68,0.219450067,1
57,50,0.18206171,1
26,86,-0.124768096,-1
27,86,0.204295355,1
60,54,-0.148360339,-1
72,44,-0.171379991,-1
45,71,0.258184598,1
43,73,-0.085207442,-1
32,84,-0.066313842,-1
40,70,0.055898071,1
53,63,0.159198859,1
57,57,-0.009968978,0
22,90,-0.147099434,-1
42,68,-0.098723991,-1
41,73,-0.248403793,-1
40,70,-0.000342894,0
50,66,-0.136395304,-1
42,72,0.012017539,0
56,58,0.110808852,1
53,55,0.148619604,1
36,78,-0.143824159,-1
59,57,-0.014838127,0
44,72,0.110500983,1
40,74,0.173236127,1
59,57,-0.008345677,0
40,76,0.142747092,1
66,46,-0.258089473,-1
61,53,0.182486892,1
39,71,-0.024175341,-1
33,83,-0.000989548,0
34,44,-0.126452795,-1
31,84,-0.059606224,-1
62,54,0.171848593,1
39,77,-0.000773567,0
47,69,0.439862876,1
39,77,0.046997879,1
54,62,0.158657087,1
57,59,0.095236077,1
39,77,-0.084354161,-1
44,72,0.367765557,1
43,73,0.262904317,1
44,72,0.109763253,1
60,54,-0.008721267,0
40,76,0.093104362,1
29,85,0.046007205,1
45,71,-0.130809381,-1
37,79,-0.172297968,-1
42,74,-0.092357651,-1
39,75,-0.176123079,-1
48,62,-0.06253065,-1
52,58,-0.12024065,-1
51,65,0.284844188,1
54,56,0.050043169,1
55,61,-0.001361682,0
62,54,-0.048720839,-1
61,53,0.286064904,1
67,43,0.031849991,0
68,48,0.144026241,1
41,73,-0.080103705,-1
42,74,0.154064388,1
60,48,-0.015612437,-1
57,59,0.053363019,1
47,69,-0.039068566,-1
54,62,-0.049729458,-1
56,60,-0.172760596,-1
50,56,0.119525937,1
36,80,0.455062073,1
30,82,0.183517349,1
33,83,-0.051080051,-1
62,48,0.150986659,1
43,73,-0.031602382,-1
64,46,0.077272002,1
44,34,-0.039780906,-1
40,75,-0.05235819,-1
44,34,0.073340203,1
32,48,0.183230453,1
50,66,0.26934951,1
40,76,0.02791066,0
48,66,0.050658143,1
41,75,-0.099116635,-1
61,53,-0.1114543,-1
53,63,0.27587602,1
31,85,0.227608241,1
49,67,0.018511758,0
57,59,-0.140088167,-1
57,51,0.028370655,0
65,45,0.374897027,1
43,73,-0.152557536,-1
39,77,-0.031619667,-1
58,58,0.046265368,1
47,69,-0.09848597,-1
60,56,-0.109562616,-1
53,61,-0.094718523,-1
29,51,0.061953144,1
37,79,-0.275659283,-1
51,65,0.02088836,0
47,65,-0.180077249,-1
43,70,0.114031051,1
39,76,0.10755906,1
29,83,-0.069141797,-1
43,69,0.074780041,1
38,76,-0.082240884,-1
46,64,0.090095363,1
62,52,-0.045905003,-1
53,63,-0.141023331,-1
35,81,0.131984257,1
37,73,0.081891605,1
62,54,-0.090107883,-1
55,55,-0.039993987,-1
41,75,-0.071119571,-1
61,55,-0.07191737,-1
44,72,-0.060644435,-1
29,51,-0.068344042,-1
56,60,0.126591444,1
33,45,0.06492318,1
76,40,0.347455465,1
34,82,0.136250731,1
42,43,0.016488131,0
63,53,-0.15065572,-1
45,71,0.087038845,1
46,40,-0.034607542,-1
45,71,0.160190897,1
46,65,0.130699803,1
45,71,-0.152040559,-1
30,83,-0.10527495,-1
56,60,-0.053401673,-1
71,43,0.156641699,1
38,78,0.262995279,1
46,70,0.158558098,1
40,76,0.182464262,1
54,62,0.182075577,1
48,62,-0.172700546,-1
50,66,0.305407927,1
32,78,0.098764084,1
44,72,0.156637218,1
48,68,0.106761969,1
70,46,0.101847098,1
39,77,-0.034180308,-1
38,74,-0.122554612,-1
60,56,0.03959155,0
29,86,0.196101932,1
51,59,-0.102220755,-1
35,81,0.052082476,1
52,62,0.006855565,0
63,53,-0.022777062,-1
44,72,0.079034926,1
34,82,0.182501902,1
38,76,0.138473773,1
56,60,0.299949492,1
42,74,0.065090191,1
39,77,0.102649227,1
38,76,-0.026665508,-1
53,61,-0.08736067,-1
43,37,-0.026397554,-1
48,68,-0.060134819,-1
65,51,0.189648086,1
46,70,-0.097984682,-1
54,62,-0.062546137,-1
42,74,0.067659793,1
61,49,0.386831657,1
27,83,-0.091882466,-1
52,54,0.08959171,1
65,51,-0.004709493,0
44,67,0.182321043,1
53,62,0.087805847,1
45,71,0.198359506,1
54,62,0.005879053,0
38,38,-0.070524789,-1
39,77,-0.019316213,-1
56,57,0.054785249,1
49,67,0.219647131,1
54,62,0.247493598,1
44,64,-0.183966046,-1
31,77,0.152082554,1
33,83,0.026424664,0
63,53,0.199145398,1
49,67,0.154891568,1
33,83,-0.052514446,-1
56,53,0.050417978,1
36,80,-0.098623531,-1
40,75,0.090571495,1
41,73,0.06475576,1
34,80,-0.140170006,-1
41,75,0.175161938,1
59,57,0.098882678,1
68,48,-0.178057861,-1
78,36,0.123543854,1
60,50,0.235224234,1
37,77,0.014582969,0
32,84,-0.012673883,0
50,66,-0.025337148,-1
56,54,0.11371471,1
55,60,0.115506519,1
32,84,0.083584082,1
56,60,-0.039914828,-1
51,63,-0.071912814,-1
46,38,-0.144657218,-1
56,58,-0.055631707,-1
51,65,0.096064786,1
43,73,-0.266638327,-1
53,61,0.200006637,1
53,63,0.077748205,1
43,69,-0.013937478,0
50,31,-0.008375927,0
59,55,0.104079279,1
60,56,0.223725766,1
58,52,-0.038265417,-1
69,41,0.162379609,1
45,70,-0.077035264,-1
52,62,0.192972726,1
67,47,0.080505984,1
43,73,0.113441034,1
38,78,-0.112875781,-1
68,48,0.247985106,1
41,75,-0.167013833,-1
49,67,0.177191842,1
49,65,0.169801838,1
58,52,-0.016683837,-1
65,49,-0.127149987,-1
39,37,0.133836381,1
49,67,0.201233566,1
57,47,0.111874528,1
40,65,0.232981315,1
43,62,-0.185407996,-1
66,50,0.123816816,1
37,73,-0.165870776,-1
40,76,0.076814475,1
46,70,-0.018285272,-1
44,72,0.149166657,1
64,52,0.086067272,1
40,74,-0.056737359,-1
42,71,0.020155124,0
29,87,0.199415754,1
54,60,0.118128576,1
49,67,0.078673335,1
57,59,0.170444425,1
46,70,0.146017925,1
28,88,0.088586949,1
55,61,-0.040163613,-1
33,83,0.0460996,1
43,64,-0.043168041,-1
48,68,0.11246605,1
41,75,0.010236664,0
42,68,0.01556738,0
35,81,-0.12339368,-1
37,79,-0.110992933,-1
29,83,0.055231694,1
74,34,0.23091957,1
56,60,0.083606923,1
42,72,0.138564442,1
57,59,-0.422390946,-1
46,62,0.022640762,0
36,74,0.127701502,1
48,66,-0.112888415,-1
40,76,0.08177463,1
31,83,0.252181075,1
45,71,0.271922223,1
41,75,0.093616304,1
53,63,-0.089462957,-1
43,73,0.00628188,0
36,80,-0.005086722,0
47,69,0.016633091,0
31,77,0.220924195,1
66,50,0.173932487,1
55,61,-0.010370686,0
37,79,0.072681253,1
57,59,-0.287516113,-1
52,64,-0.024916686,-1
55,60,0.017024946,0
56,60,0.003731579,0
46,70,0.043210125,1
49,67,0.108247876,1
34,43,-0.035444217,-1
63,45,0.130165842,1
26,90,-0.08538154,-1
67,49,-0.093269507,-1
58,58,-0.121999969,-1
54,60,0.142417069,1
45,70,0.162057498,1
58,50,0.213389887,1
36,80,-0.143549977,-1
62,54,-0.197896184,-1
38,48,0.162209439,1
57,59,0.147997343,1
47,69,0.03551859,0
49,67,0.247775945,1
43,32,0.369982818,1
49,67,-0.043911747,-1
61,49,0.008142691,0
47,69,-0.187417184,-1
51,65,0.020756199,0
42,74,-0.128169917,-1
42,74,-0.133502942,-1
32,78,0.129917945,1
54,62,-0.071505911,-1
41,75,0.189128177,1
40,70,0.054811207,1
30,49,-0.254370761,-1
54,61,0.042610958,1
61,55,0.041132842,1
55,61,-0.171042101,-1
39,75,0.164855283,1
44,68,-0.118173971,-1
34,44,0.300523529,1
42,74,0.036272039,0
57,59,-0.039795627,-1
33,83,0.010493535,0
64,46,-0.147621904,-1
44,72,0.284055405,1
50,66,0.017266158,0
40,76,0.143106314,1
61,49,-0.267816104,-1
39,77,-0.061307172,-1
41,73,-0.043520863,-1
42,68,0.108027473,1
50,66,0.239283177,1
53,63,0.158296444,1
50,66,0.198133568,1
44,72,-0.005088829,0
57,57,0.145239406,1
39,77,0.074441712,1
67,49,0.048145205,1
66,50,-0.134901663,-1
45,71,0.011487995,0
47,68,0.181358581,1
42,74,-0.077949159,-1
42,68,-0.181270345,-1
53,63,-0.064263899,-1
52,58,-0.130041123,-1
54,62,0.250236236,1
33,83,-0.18074577,-1
34,82,0.26603354,1
40,76,-0.126934647,-1
34,76,0.154613791,1
49,67,0.13689197,1
40,45,-0.161122487,-1
48,66,-0.159235701,-1
58,54,-0.086972407,-1
38,72,0.014825016,0
44,72,0.142344336,1
36,44,0.272936997,1
47,33,-0.21148008,-1
48,68,0.201121808,1
44,70,0.212264094,1
46,70,0.092181765,1
41,73,0.062949162,1
40,44,0.128382332,1
50,66,-0.055742442,-1
35,81,0.120745594,1
45,70,0.197209775,1
59,57,0.14253095,1
54,60,0.297697271,1
37,43,0.258708153,1
48,62,-0.154617219,-1
22,94,0.016364955,0
57,59,0.099018728,1
48,68,-0.149809537,-1
55,61,0.112341335,1
59,55,0.055048484,1
38,78,-0.240661661,-1
41,71,0.266648769,1
54,62,0.071517954,1
56,60,-0.008832592,0
39,77,-0.001730032,0
48,68,0.010775574,0
44,72,-0.146220666,-1
28,47,0.147757308,1
44,72,-0.077125875,-1
46,70,0.166561246,1
45,71,-0.090108184,-1
32,84,0.047635161,1
40,73,0.165430571,1
44,68,0.075514394,1
37,79,0.42239592,1
45,63,0.009812044,0
42,72,-0.119709502,-1
49,65,0.228888079,1
46,64,0.130302246,1
47,69,0.023439603,0
40,76,-0.006498681,0
50,66,-0.266356281,-1
64,52,0.226964792,1
38,78,-0.085367829,-1
67,47,-0.088741426,-1
55,61,0.196438,1
26,90,-0.056507706,-1
37,40,-0.111519154,-1
65,44,0.212635241,1
55,53,0.088329042,1
55,59,-0.104793545,-1
30,86,0.183411861,1
34,75,0.082649798,1
76,38,0.236083976,1
60,54,-0.079973296,-1
53,61,0.227593856,1
62,45,-0.059325117,-1
58,58,-0.143529685,-1
41,75,0.128293816,1
60,56,0.02696231,0
28,86,0.02422402,0
55,61,0.219556139,1
35,80,0.108880028,1
49,64,-0.004791986,0
61,55,-0.084575188,-1
53,62,0.039170934,0
60,55,0.018110756,0
41,37,0.256940552,1
78,38,-0.010890922,0
60,56,-0.236965936,-1
53,63,0.224984541,1
35,72,0.133450253,1
48,68,0.084472486,1
51,65,0.256823517,1
48,66,0.036361146,0
54,62,-0.005471656,0
53,63,0.048073176,1
44,72,0.304613215,1
54,62,-0.008794257,0
47,67,-0.143033737,-1
54,62,0.328369132,1
61,55,-0.152197451,-1
39,77,0.263122101,1
52,64,-0.069781609,-1
44,72,0.344373051,1
39,77,0.254359081,1
47,69,-0.0648304,-1
26,90,0.243312404,1
40,70,-0.288629462,-1
47,67,0.037719551,0
39,77,0.046316043,1
53,63,-0.025394124,-1
55,61,-0.017553356,-1
50,66,0.167376846,1
65,51,0.211526469,1
48,68,0.067103522,1
50,64,0.056841956,1
38,78,0.061268875,1
36,78,0.200574116,1
75,41,0.022749947,0
46,70,-0.232740158,-1
33,45,-0.166403822,-1
35,81,-0.140876511,-1
67,49,0.218128262,1
60,56,0.064590983,1
29,84,-0.040536214,-1
39,77,0.149220263,1
33,48,0.054787755,1
33,82,0.121191639,1
78,35,-0.037106345,-1
27,87,0.065210033,1
53,63,0.147110561,1
63,53,0.27827963,1
50,60,0.157221454,1
65,51,-0.22515579,-1
44,64,-0.019782068,-1
36,80,0.094400817,1
44,72,0.085378107,1
40,76,-0.293685366,-1
32,44,-0.292211086,-1
30,86,-0.240134477,-1
57,57,-0.056828566,-1
40,67,-0.085470194,-1
43,73,-0.059737577,-1
57,51,0.024718239,0
44,72,-0.283594871,-1
46,70,-0.105453926,-1
46,69,0.171941532,1
63,52,0.26103188,1
45,33,-0.251607031,-1
60,50,0.165335155,1
44,70,0.031759038,0
42,65,-0.149921543,-1
48,66,0.144894277,1
73,43,-0.02097278,-1
48,68,0.051442879,1
46,70,-0.087974016,-1
67,47,0.029972326,0
54,62,0.082002401,1
61,55,0.31676196,1
41,75,0.151749707,1
50,62,0.251504082,1
52,64,-0.17168477,-1
37,79,0.239886474,1
45,69,0.106336467,1
71,45,-0.06095476,-1
31,48,-0.087651938,-1
48,66,-0.10549,-1
47,67,0.068470321,1
65,51,0.283697672,1
49,67,-0.136508289,-1
59,57,0.358856232,1
58,58,-0.003241921,0
62,51,0.092498549,1
58,54,0.063536283,1
37,79,0.198180733,1
41,67,0.084811294,1
29,83,-0.086940927,-1
43,73,0.148630439,1
63,51,-0.011484524,0
49,65,0.215424069,1
58,49,-0.024470078,-1
48,68,-0.222549975,-1
58,58,0.070867786,1
40,76,0.221147478,1
43,71,-0.079394258,-1
58,48,0.014209494,0
37,79,0.002456051,0
67,43,0.043869805,1
42,74,0.036503057,0
63,51,0.00609177,0
55,53,0.00859566,0
48,68,0.2294247,1
38,78,-0.005280377,0
36,80,-0.085413159,-1
43,73,-0.036836916,-1
39,77,0.014231382,0
48,67,-0.099980114,-1
38,78,-0.191214795,-1
41,75,0.137575251,1
69,45,0.025302169,0
60,50,0.015806697,0
49,67,-0.133639142,-1
41,75,-0.037412051,-1
53,55,-0.175794039,-1
35,79,0.095792126,1
28,88,0.1548846,1
52,64,-0.027172578,-1
27,82,-0.040596935,-1
52,64,0.222714458,1
42,74,-0.02671775,-1
36,74,0.002594912,0
25,90,-0.019441213,-1
43,73,0.00300711,0
57,59,-0.248425353,-1
38,78,-0.104080935,-1
62,52,0.149822229,1
38,78,-0.026564913,-1
34,82,-0.164632163,-1
61,49,-0.039156276,-1
50,63,0.294440427,1
41,75,0.151720852,1
43,65,-0.057932885,-1
46,70,-0.127650021,-1
35,80,0.167349064,1
51,56,0.109903222,1
35,81,-0.133256589,-1
56,58,-0.017341716,-1
33,43,-0.13273987,-1
74,40,0.011409644,0
54,62,0.092921729,1
58,56,0.113394946,1
54,62,-0.069083713,-1
48,68,-0.068472861,-1
52,64,-0.26809826,-1
41,75,-0.094828313,-1
66,48,0.010846017,0
57,55,0.0333163,0
36,44,0.13140132,1
29,87,-0.104649854,-1
41,75,0.070000403,1
46,70,-0.178949698,-1
52,58,-0.071122513,-1
46,68,0.008541899,0
60,54,0.157477888,1
50,66,0.040084855,1
58,58,-0.004331208,0
28,88,0.183875266,1
50,60,-0.010940634,0
34,82,0.211638773,1
60,56,-0.088756076,-1
47,69,0.071833004,1
41,37,0.13974803,1
35,77,0.140148239,1
76,38,0.158479327,1
64,46,0.318593697,1
38,78,0.156594259,1
48,66,0.202627784,1
47,61,0.14391548,1
43,67,-0.103219622,-1
43,73,-0.225399387,-1
57,59,-0.07573177,-1
47,33,-0.001090783,0
45,71,-0.150176559,-1
52,64,0.012932719,0
21,87,0.194922516,1
67,47,-0.107312669,-1
47,69,-0.377702685,-1
40,76,0.116290151,1
51,61,-0.109650578,-1
30,86,0.038717835,0
34,80,-0.197604404,-1
38,76,-0.126448092,-1
56,60,-0.248475493,-1
58,58,0.246255643,1
44,69,-0.031307252,-1
39,75,0.260985119,1
57,59,0.076064707,1
31,85,0.186627575,1
52,58,0.028741593,0
46,62,-0.211118847,-1
37,79,0.124837889,1
49,67,0.075939484,1
45,63,0.188354784,1
41,75,0.126357749,1
48,68,0.162254296,1
56,60,0.312148219,1
45,71,-0.138080908,-1
38,76,-0.075692147,-1
44,72,0.213116427,1
56,60,0.018576372,0
53,63,0.202799683,1
33,83,0.096002146,1
42,68,0.024027756,0
39,69,-0.105497115,-1
38,72,-0.039251443,-1
34,82,0.00805744,0
40,76,0.142477978,1
35,79,-0.145136464,-1
30,85,0.035774002,0
56,60,-0.15444645,-1
48,65,0.146314284,1
47,61,0.311206793,1
54,61,-0.055848605,-1
49,67,0.122124772,1
48,64,-0.285367029,-1
62,48,0.034829055,0
50,58,-0.039040563,-1
60,56,0.142565151,1
44,72,-0.097852721,-1
43,73,-0.166575022,-1
42,33,0.101030816,1
45,71,-0.185605349,-1
46,70,-0.00291519,0
39,77,-0.107024657,-1
44,62,-0.090727054,-1
37,79,0.030091281,0
52,61,0.143973856,1
37,73,-0.010805481,0
41,41,-0.079494941,-1
51,65,0.153878929,1
53,63,-0.027209756,-1
45,71,-0.143050076,-1
54,62,0.050477341,1
18,98,0.063496694,1
53,63,0.079509279,1
36,80,-0.010538998,0
46,70,0.113315746,1
61,55,0.023088346,0
55,54,0.080805496,1
32,84,-0.084741932,-1
62,48,0.07017188,1
55,61,0.054240282,1
25,83,-0.192065177,-1
58,58,0.057766253,1
61,55,-0.056544267,-1
40,76,-0.175344117,-1
41,75,-0.19775123,-1
48,68,-0.149089506,-1
60,53,0.2471693,1
43,73,0.179962317,1
51,65,0.014528237,0
46,64,0.133955297,1
45,71,0.007663502,0
55,61,0.013736068,0
58,58,0.172357415,1
51,63,0.00430937,0
69,40,-0.234838267,-1
61,49,0.001496669,0
37,73,0.385436006,1
51,65,0.064594466,1
48,68,0.257538046,1
33,77,-0.037066101,-1
35,81,-0.01890458,-1
47,69,0.247952282,1
34,44,0.017088082,0
59,57,0.06804421,1
65,51,0.188560241,1
48,68,-0.179913915,-1
42,74,0.269176813,1
49,67,0.087523404,1
51,64,0.033503537,0
53,63,-0.13385066,-1
35,79,-0.133781981,-1
52,64,-0.194708722,-1
59,57,0.224737242,1
54,62,-0.012791272,0
43,73,-0.20254058,-1
34,82,-0.128687999,-1
50,66,-0.018413828,-1
55,59,0.1651363,1
42,38,-0.068883307,-1
56,60,0.325244636,1
27,89,-0.072566406,-1
48,64,0.024889353,0
51,65,-0.046398425,-1
30,52,-0.038355058,-1
40,76,0.100365206,1
40,37,-0.001341731,0
35,81,0.042429846,1
43,71,0.141229339,1
42,74,0.009748548,0
48,60,0.003757441,0
46,60,0.067596401,1
72,44,0.015454646,0
42,74,0.142251324,1
61,49,-0.014849509,0
50,64,0.07691591,1
37,79,-0.247917373,-1
35,79,-0.040155588,-1
62,54,0.064388526,1
46,70,-0.219107123,-1
52,64,-0.096752585,-1
42,68,0.190971859,1
36,80,0.086269073,1
41,73,-0.001724881,0
52,64,-0.115235171,-1
57,59,0.175457969,1
38,78,0.107693747,1
48,58,0.087813762,1
41,41,-0.009620259,0
36,41,-0.009310958,0
52,61,-0.039298326,-1
58,58,-0.0536671,-1
63,53,-0.003452069,0
38,43,-0.132575958,-1
52,64,0.158333674,1
45,71,0.194017973,1
52,64,0.195577375,1
51,65,-0.182742574,-1
48,68,-0.165994331,-1
32,84,0.121136376,1
62,54,-0.145369177,-1
51,59,0.052293044,1
31,53,0.35023286,1
44,64,0.070225185,1
46,70,0.124017944,1
52,64,0.199611374,1
54,62,-0.016231473,-1
36,72,0.23260552,1
53,63,0.114261794,1
51,53,0.191620303,1
45,69,0.104020039,1
65,49,-0.038541171,-1
40,76,-0.009969842,0
32,82,0.167977069,1
42,38,-0.085665999,-1
56,60,-0.070233192,-1
65,51,0.171948817,1
47,69,-0.170737834,-1
42,74,-0.060158262,-1
40,76,0.034605781,0
41,75,-0.173850529,-1
50,66,-0.044461969,-1
42,68,-0.027533284,-1
61,55,-0.103810038,-1
56,60,0.174821311,1
42,72,-0.019614654,-1
37,79,-0.043417867,-1
50,64,0.143543733,1
43,73,0.009643282,0
29,85,-0.08546521,-1
58,56,-0.103402993,-1
36,80,-0.045714643,-1
67,47,0.028430355,0
68,48,0.068776439,1
47,69,0.059395786,1
50,64,0.168469764,1
46,35,0.222791959,1
45,70,-0.176343923,-1
37,77,-0.049756122,-1
40,76,-0.095074639,-1
41,69,0.27356381,1
52,61,0.235896491,1
42,66,0.019115329,0
44,72,-0.023011469,-1
51,57,0.270353324,1
58,58,-0.028834153,-1
35,81,-0.049184925,-1
69,47,0.275874613,1
37,79,0.038864486,0
58,58,0.016060088,0
